Comment,Designator,Footprint,LCSC
"22pf","C0,C1","Capacitor_SMD:C_0805_2012Metric","C1804"
"1uf","C2","Capacitor_SMD:C_0805_2012Metric","C28323"
".1uf / 100nf","C3,C4","Capacitor_SMD:C_0805_2012Metric","C49678"
"10uf","C5","Capacitor_SMD:C_0805_2012Metric","C91245"
"BAV70","D1,D2,D3,D4,D203,D405,D607,D809,D1011,D1213,D1415,D1617,D1819,D2021,D2223,D2425,D2627,D2829,D3031,D3233,D10011,D12013,D110111,D112113,D210211,D212213","Package_TO_SOT_SMD:SOT-23","C68978"
"Polyfuse","F0","Fuse:Fuse_1206_3216Metric","C69688"
"MountingHole_Pad","H0,H1,H2","Connector_Pin:Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork",""
"USB_C_Receptacle_USB2.0","J0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"10k","R0,R5","Diode_SMD:D_0805_2012Metric","C17414"
"22","R1,R2","Diode_SMD:D_0805_2012Metric","C17561"
"5.1k","R3,R4","Diode_SMD:D_0805_2012Metric","C27834"
"SW_PUSH","SW0","Keebio-Parts:SW_SPST_TL3342","C318884"
"SW_PUSH","SW0,0,SW0,1,SW0,2,SW0,3,SW0,4,SW0,5,SW0,6,SW0.7,SW0,8,SW0,9,SW0,10,SW1,0,SW0,11,SW1,1,SW0,12,SW1,2,SW0,13,SW1,3,SW1,4,SW1,5,SW1,6,SW1,7,SW1,8,SW1,9,SW2,0,SW2,1,SW2,2,SW2,3,SW2,4,SW2,5,SW2,6,SW2,7,SW2,8,SW2,9,SW3,0,SW3,1,SW3,2,SW1,10,SW1,11,SW1,12,SW1,13,SW0,13_1,SW2,10,SW2,11,SW2,12,SW2,13,SW3,10,SW3,11,SW3,12,SW3,2_1,SW1,13_1,SW2,12_1,SW3,10_1","kbd:keyswitch_cherrymx_alps_combo_fixed",""
"3U1","SW3,3","kbd:keyswitch_cherrymx_alps_combo_fixed",""
"MIDDLE","SW3,6","kbd:keyswitch_cherrymx_alps_combo_fixed",""
"3u2","SW3,8","kbd:keyswitch_cherrymx_alps_combo_fixed",""
"ATmega32U2-A","U1","Package_QFP:TQFP-32_7x7mm_P0.8mm","C618733"
"SRV05-4","U2","Package_TO_SOT_SMD:SOT-23-6","C85364"
"Crystal_GND24_Small","Y0","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
